item_id,item_name,purchase_price,quantity_purchased,sale_price,quantity_sold,date
12492,Stye Eye Lubr 0.125oz Tube,3.6075,1776,4.3,4224,01/13/25
13718,Dickinson Wh Pore Perfecting Toner,2,228,2.7,228,05/06/25
138,Ensure Rtu Chocolate Flavor,1.2283,4992,1.48,3504,06/30/25
14174,Enr 522bp.m2 Max 9v1,1.3395,4200,1.63,4200,07/14/25
14264,Enr Ecr2025bp.bc Watch Battery,0.4034,3168,0.44,3168,07/14/25
144,Ensure Rtu Strawberry Flavor,1.2283,4992,1.48,3504,06/30/25
146,Ensure Rtu Original Vanilla,1.2283,49920,1.48,7200,06/30/25
14908,Fleet Adult Mineral Oil 4.5oz Enema,1.2869,96,1.44,624,01/28/25
14914,Fleet Adult Glyc 12ct Suppos,0.7867,24,0.99,24,03/11/25
14992,Se Frsh Scent 4.5oz Douche,0.585,72,0.74,12,03/11/25
236875,Clubman Original After Shave Lot,2.1983,5040,2.21,5028,05/02/25
237427,La Looks Sport Xtra Hld Gel Ws,1.65,4800,1.8,2400,06/26/25
237956,Wo Ab Fresh Scent,1.26,3600,1.34,3600,04/09/25
238464,Lozenges Wild Chrry 18ct Loz,1.72,72,1.89,2556,04/14/25
238466,Chlora Menthol 6oz Spry,2.9315,540,3.42,576,02/27/25
244341,Nissin Top Ramen Chicken 1x24,0.2908,18720,0.35,720,06/03/25
246286,Nissin Cup Noodles Chicken 1x12,0.4575,4800,0.55,720,06/03/25
246309,(disc) Ce Rdnss Rlf 1oz Drp,0,0,3.26,1560,01/28/25
246481,Oxy Dly Clnsg Max Pads,2.48,4080,3.1,4080,06/25/25
246822,Little Remedies Sln 1oz Spry Drp,1.5535,360,1.83,936,01/28/25
248475,Fleet Adult Single Xtra 7.8oz Enema,1.066,600,1.34,48,03/11/25
249190,Se Sens 32ct Clnsg Cloth,2.0215,264,2.38,756,01/28/25
249477,Clear Eyes Red Rlf 0.5oz Drp,1.9565,1620,2.48,540,01/28/25
255941,Ssc Magic Shave Smooth Cream Shave,0,0,3.7,48,05/13/25
256084,Clst Ssng Cinnamon Apple Spice,0,0,2,12,03/11/25
256089,Enr El123apbp.b1 3v Lithium 1pk,2.3566,720,2.58,720,07/14/25
256742,Se Sens 9oz Clnsg Wash,1.6445,840,1.92,1152,04/08/25
259675,Se Del Blssm 9oz Clnsg Wash,1.6445,216,1.89,984,02/27/25
259962,Pert Plus 13.5 Oz 2in1 Hpy Medm,1.6,9930,1.75,6060,06/26/25
260317,Rohto Cool Eye Drops,3.15,6720,3.46,6720,06/25/25
262190,Enr 522bp2.m2 Max 9v2,2.3692,4200,2.61,4200,07/14/25
262580,Yardley Eng Lvndr Bar,0.67,19008,0.7,19008,07/07/25
266511,Enr Ecr2032bp.ch 2032 Battery,0.4033,3888,0.44,3888,05/20/25
266518,Enr E95bp4.d1 Max D4 Clam Emod,4.5042,432,4.97,432,05/29/25
269763,Dentek Trpl Cln 90ct Fls Pick,1.0661,144,1.24,1008,01/28/25
270205,Pert Classic Cln Anti Dandruff 2in1,0,0,1.92,24,06/10/25
270243,Sure Unscented Invisible Solid,1.5,576,1.16,576,05/23/25
270281,Vitron Ciron Suplmnt 60ct Tab,6.6105,240,7.77,504,02/27/25
271323,Lozenges Max Berry 15ct Loz,1.56,432,1.94,1656,01/28/25
277841,Compound W Precision Tip 8app Spry,6.89,72,6.67,1944,06/10/25
281741,Pedialax Liq Glyc 6ct Suppos,3.263,600,3.85,4320,01/28/25
281742,Pedialax Watermln 30ct Chew,2.977,2304,3.72,24,03/11/25
284586,Hylands 4 Kids Cold N Cough Daytime,3.9829,24,4.78,3,04/04/25
285003,Playtex Sport Regular Unscnt,2.33,4320,2.92,4320,06/23/25
285013,Ht Lime Coolada Aftersun Ltn,3.47,720,3.58,480,06/23/25
285016,Ht Sheer Touch Spf 30 Ltn,3.66,312,5.06,312,06/23/25
286584,Singer Hand Ndls Assorted,0,0,0.25,72,01/28/25
286627,Gio L.a. Hold Hair Spray,3.71,840,3.81,1716,06/13/25
286628,Gio Vitapro Fusion Leave-in Treatme,3.71,24,3.81,624,06/13/25
286629,Gio 50/50 Balanced Cond,3.71,288,3.81,1368,06/13/25
286630,Gio Smooth As Silk Shmp,3.71,240,3.81,732,06/13/25
286631,Gio Smooth As Silk Cond,3.71,1092,3.81,1092,06/13/25
286632,Gio Tea Tree Triple Treat Cond,3.71,876,3.81,1548,06/13/25
286633,Gio Tea Tree Triple Treat Shmp,3.71,696,3.81,2340,06/13/25
286634,Gio 50/50 Balanced Shmp,3.71,1548,3.58,1548,06/13/25
286657,Dentek Frsh Cln 75ct Fls Pick,1.157,288,1.45,144,03/11/25
286673,Enr A23bpz2.z1 Watch Elec Bty,0.6932,3168,0.76,3168,07/14/25
286940,Guzzler Fruit Drink Citrus,0.5395,28080,0.62,20304,06/30/25
286942,Debrox Ear Wax 0.5oz Kit,3.7246,264,4.44,1728,01/13/25
286943,Dramamine Original 12ct Tab,2.561,4032,2.92,6720,01/30/25
286944,Dramamine Less Drowsy D 8ct Tab,2.4535,12000,2.86,0,04/04/25
286948,Ludens Wild Chrry 30ct Drp,0.845,6000,0.93,14520,01/29/25
287023,Badia Pepper Ground Black,0.86,480,1.03,1200,04/08/25
287024,Badia Pepper Ground Black,2.63,480,3.16,120,06/03/25
287025,Badia Complete Seasoning,0.86,600,1.03,80,06/03/25
287026,Badia Complete Seasoning,2.4,1200,2.59,1200,04/08/25
287027,Badia Food Colors,1.33,720,1.6,720,04/08/25
287028,Badia Nutmeg Ground,1.58,400,1.9,480,04/08/25
287029,Disc Badia Nonpareils,0.86,480,1.03,480,01/15/25
287030,Badia Pepper Ground Cayenne,0.86,480,1.03,1200,04/08/25
