item_id,item_name,purchase_price,quantity_purchased,sale_price,quantity_sold,date
14174,Enr 522bp.m2 Max 9v1,1.3395,4200,1.63,4200,07/14/25
14264,Enr Ecr2025bp.bc Watch Battery,0.4034,3168,0.44,3168,07/14/25
256089,Enr El123apbp.b1 3v Lithium 1pk,2.3566,720,2.58,720,07/14/25
262190,Enr 522bp2.m2 Max 9v2,2.3692,4200,2.61,4200,07/14/25
262580,Yardley Eng Lvndr Bar,0.67,19008,0.7,19008,07/07/25
286673,Enr A23bpz2.z1 Watch Elec Bty,0.6932,3168,0.76,3168,07/14/25
286940,Guzzler Fruit Drink Citrus,0.5395,28080,0,0,
287023,Badia Pepper Ground Black,0.86,480,0,0,
287024,Badia Pepper Ground Black,2.63,480,0,0,
287025,Badia Complete Seasoning,0.86,600,0,0,
287026,Badia Complete Seasoning,2.4,1200,0,0,
287027,Badia Food Colors,1.33,720,0,0,
287028,Badia Nutmeg Ground,1.58,400,0,0,
287030,Badia Pepper Ground Cayenne,0.86,480,0,0,
287031,Badia Chili Powder,0.93,400,0,0,
287034,Badia Paprika Smoked,0.86,480,0,0,
287035,Badia Ginger Ground,0.86,480,0,0,
287660,Badia Cajun Louisiana,0.86,200,0,0,
288074,Badia Garlic Powder,2.4,600,0,0,
288075,Badia Onion Powder,2.08,600,0,0,
288510,Badia Garlic Powder,0.86,400,0,0,
288511,Badia Onion Powder,0.86,400,0,0,
288514,Badia Paprika,0.86,480,0,0,
288515,Badia Bay Leaves Ground,0.86,200,0,0,
288516,Badia Sazon Tropical,0.99,480,0,0,
288520,Badia Coriander Ground,0.86,200,0,0,
288522,Badia Basil,0.86,200,0,0,
288523,Badia Pepper Ground White,1.15,400,0,0,
288525,Badia Allspice Ground,1.29,480,0,0,
288531,Badia Rosemary,0.86,320,0,0,
290929,Contour Next Test Strips 7311,12.2,4800,15.5,12000,07/10/25
292822,Badia Parsley Flakes,0.99,600,0,0,
297300,Finesse Hs Aero X-hld Unscntd,1.65,1860,1.7,1860,07/07/25
297301,Finesse Hs Aero Xtra Hold,1.65,1860,1.7,1860,07/07/25
297303,Finesse Mousse Xtra Control,1.65,1188,1.7,1188,07/07/25
298700,Badia Sesame Seed,1.37,300,0,0,
298716,Badia Organic Turmeric Powder,1.44,200,0,0,
303630,Milk Bone Trts Marosnacks,0,0,2,9216,07/10/25
305500,Badia Sazon Tropical W/anntt&crndr,0.99,480,0,0,
305552,Badia Rotisserie Chicken Seasoning,2.51,360,0,0,
305603,Badia Garlic Ground With Parsley,1.7,180,0,0,
305612,Badia Lemon Pepper Seasoning,1.6,300,0,0,
305628,Badia Rib Rub Seasoning,2.14,150,0,0,
305635,Badia Sazon With Saffron,1.45,60,0,0,
305653,Badia Pink Himalayan Salt Can,1.32,480,0,0,
305656,Badia Olive Oil Extra Virgin,3.63,600,0,0,
305860,Badia Annatto Ground,0.86,400,0,0,
305862,Badia Meat Tenderizer,0.86,200,0,0,
305889,Badia Pepper Crushed Red,1.56,480,0,0,
320654,Og Silkcut Intro Cs 6.5in,36.32,12,0,0,
320736,Og Ceramic+ion Hair Dryer,36,2,0,0,
320744,Og Ceramic + Ion Thermal 12pc Displ,50.25,2,0,0,
320748,Og Crmc+ion Spd Xl Thrm 12pc Disp-m,59.75,2,0,0,
320764,Og Ceramic+ion Thermal 1 3/8in,3.44,24,0,0,
320770,Og Ceramic+ion Spd Xl Thrml 1 3/8in,4.11,12,0,0,
320771,Og Ceramic+ion Spd Xl Thrml 1 3/4in,4.53,12,0,0,
320772,Og Ceramic+ion Spd Xl Thrml 2 1/8in,5.2,12,0,0,
320783,Og Ceramic+ion Xl Pro Sm,3.32,6,0,0,
320784,Og Ceramic+ion Xl Pro Lg,3.9,30,0,0,
320785,Og Ceramic+ion Xl Pro Vnt,4.49,30,0,0,
320797,Og Prothermal 1in,2.67,12,0,0,
320798,Og Prothermal 1 1/4in,2.9,12,0,0,
320799,Og Prothermal 1 3/4in,3.15,12,0,0,
320800,Og Prothermal 2 1/4in,3.64,12,0,0,
320867,Og Heatpro Thermal Round 1/2in,4.3,6,0,0,
320868,Og Heatpro Thermal Round 1in,4.3,6,0,0,
320869,Og Heatpro Thermal Round 1 1/4in,4.72,24,0,0,
320870,Og Heatpro Thermal Round 1 3/4in,5.29,12,0,0,
320871,Og Heatpro Thermal Round 2 1/8in,6.03,6,0,0,
320872,Og Heatpro Thermal Round 2 3/4in,7.25,18,0,0,
